cve_ent,entidad,fecha,pi,brecha_itaee,h,tasa_narco,d_tc,cetes28,expectativa,d_wti
26,Sonora,2008-05-01,-0.05612519267182847,-0.13801038359207762,0.6123977177756692,0.8448495284587563,-0.006435655091598491,7.4375,3.7,0.10784454816293998
26,Sonora,2008-06-01,0.004078074917661212,-0.12344453028357183,0.632999952766277,0.8832517797523362,-0.01245288576380732,7.555,3.75,0.06543524814430501
26,Sonora,2008-07-01,0.00887600405992739,-0.11145517937482552,0.8185783578931163,1.2672742926881346,-0.008850197646200986,7.926,3.87,-0.0038166557088219477
26,Sonora,2008-08-01,0.005763163904076052,-0.09360840100886492,0.8014956464726418,1.2288720413945549,-0.014328647558245144,8.1775,4.26,-0.13377778379853744
26,Sonora,2008-09-01,0.004737531784217097,-0.08962373764513121,0.766429026011244,1.152067538807395,0.04952383616840628,8.165,4.21,-0.11390140434910467
26,Sonora,2008-10-01,0.0029974916191219947,-0.0857478866314958,1.017584270000662,1.7665035595046723,0.16362287348746474,7.742,4.23,-0.30672041595793154
26,Sonora,2008-11-01,0.06736713593229648,-0.03319601799331817,0.8353741448713548,1.3056765439817144,0.04732057974923043,7.43,4.19,-0.29025248796508407
26,Sonora,2008-12-01,0.004282181259718243,-0.011271108682402442,0.8353741448713548,1.3056765439817144,0.021077980576662547,8.016,4.21,-0.33198050741673635
26,Sonora,2009-01-01,0.0033684635679263053,0.014306378143529308,0.6438852766629022,0.9038635648077707,0.03600657948152408,7.59,3.97,0.014246287061944418
26,Sonora,2009-02-01,0.0012351747263963375,-0.029356572964006844,0.7200361560982371,1.0545074922757325,0.04500801210733929,7.1175,4.17,-0.06487422840399049
26,Sonora,2009-03-01,0.004996214521756137,-0.016039393874074825,0.6634735132591646,0.9415245466747613,0.014963836262647856,7.0325,4.18,0.20408354920137484
26,Sonora,2009-04-01,0.006259773498455523,-0.005442971907273275,0.8727384840514879,1.3934563290786468,-0.08812806851188792,6.046,4.13,0.035048161484943385
26,Sonora,2009-05-01,-0.059775317247246385,0.0043752938913197426,0.7560419089146788,1.1298294560097135,-0.01708841510181891,5.2925,4.13,0.17304739876141628
26,Sonora,2009-06-01,0.004692094180311912,-0.0025252393417520835,1.1582440878495515,2.1843369482854462,0.007000382122609228,4.9775,3.97,0.16529332564739008
26,Sonora,2009-07-01,0.0036595187128929396,-0.010009537926299217,0.7735700180719193,1.167490437876704,0.0017264266592191824,4.59,3.95,-0.0821150238383428
26,Sonora,2009-08-01,0.0014926917183819555,-0.01348519433096218,0.8883509504204672,1.4311173109456372,-0.026752794795381174,4.485,4.09,0.10215976348146416
26,Sonora,2009-09-01,0.005070920327335138,-0.013327527036975262,0.7907961776266339,1.2051514197436943,0.02979848112986616,4.4825,4.15,-0.023352905191616813
26,Sonora,2009-10-01,3.0893366960871305e-4,-0.01293216011386189,1.0188711999677518,1.770066147748551,-0.011626195278083618,4.512,4.33,0.08701137698962924
26,Sonora,2009-11-01,0.06261792684835221,-0.013482787536145402,0.9629537668429751,1.6194222202805892,-0.009182912836823487,4.5075,4.76,0.02953828700128458
26,Sonora,2009-12-01,0.0032448733450323175,-0.00961582445695175,1.3215562670797198,2.749251676290303,-0.02123361340691332,4.502,4.89,-0.046184253619852456
26,Sonora,2010-01-01,0.006939196282510274,-0.005965717619210942,1.1917203029554244,2.292740849652779,-0.0017854325903248203,4.4925,4.49,0.05053431165659372
26,Sonora,2010-02-01,0.0029819790902836374,0.0010693818497369278,1.0598590719502823,1.8859642472950282,0.010019081886249559,4.485,4.22,-0.025078873825878922
26,Sonora,2010-03-01,0.007349388379775945,0.006562424141737466,1.0725913064783519,1.92294393841846,-0.027944231000864406,4.448,4.05,0.061063449614363385
26,Sonora,2010-04-01,0.0017873174341040965,0.011632349835763556,0.9798610721838035,1.6640861005544365,-0.027554347685403435,4.4375,4.04,0.037347986841758996
26,Sonora,2010-05-01,-0.06275325062080928,0.01556654618195008,1.1457573178555767,2.1448220851590514,0.03370897325256106,4.515,4.15,-0.13371784120339303
26,Sonora,2010-06-01,4.982626353333686e-4,0.024282083477340954,1.0072443384161225,1.7380454828013003,0.002812180950733989,4.59,4.13,0.021465809457897223
26,Sonora,2010-07-01,0.002722438517699821,0.03209447727094261,1.356972626989611,2.88441590762769,0.009018922268316576,4.594,4.16,0.01292382487613608
26,Sonora,2010-08-01,0.003012273412090316,0.033714545570671106,1.0206598188418385,1.7750251739247322,-0.008127741680913125,4.5175,4.07,0.0036620496065138397
26,Sonora,2010-09-01,0.0035509261688506655,0.045370336232694264,1.169002861663571,2.218781467405915,0.01052512859914767,4.426,4.01,-0.017914072313715224
26,Sonora,2010-10-01,0.0057797091999862715,0.057650673603841796,1.0338977040493984,1.8120048650481642,-0.03227172313794879,4.025,3.83,0.08469387884926682
26,Sonora,2010-11-01,0.0638970433085575,0.06606378096861665,0.553651650613311,0.7395938224686385,-0.011455917014635109,3.97,3.76,0.02841168595037402
26,Sonora,2010-12-01,0.0035237321156849077,0.06670996584730826,0.9798610721838035,1.6640861005544365,0.007021901349915982,4.304,3.73,0.05653177507667895
26,Sonora,2011-01-01,0.004584351627462624,0.06691750597704615,0.9967955363134477,1.7095851346116422,-0.020150257808102534,4.135,3.77,2.2431583763804497e-4
26,Sonora,2011-02-01,0.006442849480944979,0.06208962374365612,0.7886150794751275,1.2003470094081745,-0.0062801684274362835,4.0425,3.81,-0.006638561651735486
26,Sonora,2011-03-01,0.002953147237652054,0.05683816498015215,1.0101304807289062,1.7459592864118898,-0.00480991604542691,4.268,3.74,0.1494627418517176
26,Sonora,2011-04-01,0.004601751034479129,0.0492194066391356,0.8370178292418698,1.3094694648089173,-0.022193365782670504,4.2775,3.84,0.06282964398888513
26,Sonora,2011-05-01,-0.08882689641182129,0.032627680817182814,0.665636172760721,0.9457279468064403,-0.00880295975745371,4.31,4.02,-0.0820685569760915
26,Sonora,2011-06-01,3.33991095931907e-4,0.021191559974894858,0.665636172760721,0.9457279468064403,0.012725943162124942,4.372,4.06,-0.0470770634846005
26,Sonora,2011-07-01,5.350724420960518e-4,0.010691328425087576,0.665636172760721,0.9457279468064403,-0.011151698773224972,4.14,3.93,0.010746125316996036
26,Sonora,2011-08-01,-0.0013034815625472262,0.009592295839688347,0.665636172760721,0.9457279468064403,0.0443550770438379,4.0525,4.03,-0.1196218269445275
26,Sonora,2011-09-01,0.005308902781500535,-0.002158585032473681,0.7549939755984175,1.127598705807679,0.0576041860079326,4.228,3.93,-0.009426895530642021
