fecha,cetes28,tc_fix,expectativa,m1,m2,reservas,tiie28,tiie91,tasa_obj,spread_tiie,remesas,vix,fed_funds,petroleo,precio_maiz,precio_trigo
2008-10-01,7.742,12.489474193548388,4.2299999999999995,1280698618.45,3773233845.26,78319.66,8.679021739130436,8.760434782608696,8.25,0.0814130434782605,NA,61.18,0.97,76.61,183.0247028911565,202.7749350000001
2008-11-01,7.43,13.09469,4.19,1336988461.98,3805039176.54,81589.725,8.733421052631579,8.829078947368421,8.25,0.09565789473684205,NA,62.67,0.39,57.31,164.3044002100839,194.1146296078431
2008-12-01,8.016,13.373629032258064,4.21,1482728231.73,3972390752.19,84818.55,8.738809523809524,8.811838095238095,8.25,0.073028571428571,NA,52.41,0.16,41.12,158.9097969642857,188.8449496825397
2009-01-01,7.59,13.86394193548387,3.9700000000000006,1416248741.61,3983477995.86,84498.72,8.386109523809523,8.380604761904761,7.991935483870968,-0.005504761904761679,NA,44.68,0.15,41.71,173.2951299319728,211.2760833333333
2009-02-01,7.1175,14.502185714285714,4.17,1420748804.13,3987232481.21,81158.65,7.9273842105263155,7.852573684210526,7.669642857142857,-0.07481052631578944,NA,45.57,0.22,39.09,163.3999605158729,195.2249026315789
2009-03-01,7.0325,14.720825806451613,4.18,1403282962.59,3974376380.16,79693.975,7.604404761904762,7.503633333333333,7.209677419354839,-0.10077142857142896,NA,44.8,0.18,47.94,164.5770303571428,199.1005683333334
2009-04-01,6.046,13.47903,4.13,1394809715.59,3969889246.03,77727.46,6.631865,6.451635,6.4,-0.18023000000000078,NA,38.06,0.15,49.65,168.795905442177,200.8876466666667
2009-05-01,5.2925,13.250651612903226,4.129999999999999,1405502623.64,3929565412.89,76175.475,5.741205,5.613765,5.588709677419355,-0.12744,NA,31.98,0.18,59.03,180.0702121428572,227.186091
2009-06-01,4.9775,13.343736666666667,3.9699999999999998,1412155201.19,3970812164.59,74489.525,5.245095454545455,5.166704545454546,5.05,-0.07839090909090896,NA,29.14,0.21,69.64,179.3937946428571,227.3146938333333
2009-07-01,4.59,13.366793548387097,3.95,1416052316.15,3991646290.6,73646.64,4.90974347826087,4.903413043478261,4.629032258064516,-0.0063304347826091956,NA,26.16,0.16,64.15,151.8002553571427,195.3259916666666
2009-08-01,4.485,13.013935483870968,4.090000000000001,1406616186.43,3894463302.74,73930.85,4.888695238095238,4.955290476190476,4.5,0.06659523809523815,NA,25.34,0.16,71.04,152.0362942176871,179.5540511111111
