cve_ent,periodo,entidad,fecha,h,tasa_narco,g,log_itaee,itaee,pi,inpc,d_tc,cetes28,expectativa,d_wti,d_mes02,d_mes03,d_mes04,d_mes05,d_mes06,d_mes07,d_mes08,d_mes09,d_mes10,d_mes11,d_mes12
24,140,San Luis Potosí,2015-08-01,0.5417334291287285,0.7189840180637544,0.037651208283095094,4.485224379989752,88.69685037872397,0.0024239342731409153,87.8559914,0.039075300501329124,3.0425,3.77,-0.17169064294659142,0,0,0,0,0,0,1,0,0,0,0
24,141,San Luis Potosí,2015-09-01,0.25277505555406615,0.28759360722550176,0.03016854720803419,4.4798026675479825,88.21726282915974,0.0016126982185991068,87.99779091,0.019400803856133297,3.1,3.69,0.05910038827244968,0,0,0,0,0,0,0,1,0,0,0
24,142,San Luis Potosí,2015-10-01,0.3586462871510124,0.43139041083825264,0.027784064140009335,4.474527711796942,87.75314584571049,0.0023803384344427414,88.20750493,-0.013937373693029276,3.018,3.5500000000000007,0.016139935963899177,0,0,0,0,0,0,0,0,1,0,0
24,143,San Luis Potosí,2015-11-01,0.45437413153165285,0.5751872144510035,0.026381863095103597,4.47204743397714,87.53576336037064,3.55293826590497e-4,88.23885008,0.0019784828651392417,3.0149999999999997,3.3200000000000003,-0.08532129110045217,0,0,0,0,0,0,0,0,0,1,0
24,144,San Luis Potosí,2015-12-01,0.43128749757588386,0.5392380135478159,0.025478135347358766,4.469641293554416,87.32539321326755,0.003343722217671541,88.53439011,0.022624499973475487,3.142,3.2699999999999996,-0.1320514058088036,0,0,0,0,0,0,0,0,0,0,1
24,145,San Luis Potosí,2016-01-01,0.3812860410660283,0.46416635722242855,4.01046033611685e-4,4.467148851247326,87.10801072792769,0.005162451852475769,88.99262643,0.053382981215340575,3.0825,3.22,-0.16035434099075374,0,0,0,0,0,0,0,0,0,0,0
24,146,San Luis Potosí,2016-02-01,0.4518916369181394,0.5712816704276044,9.085046284447174e-4,4.478743297466071,88.12385758430685,0.00461017311616807,89.40384501,0.028215422140883017,3.3600000000000003,3.07,-0.04387800617205384,1,0,0,0,0,0,0,0,0,0,0
24,147,San Luis Potosí,2016-03-01,0.305313995485936,0.35705104401725274,0.0018471608137984319,4.489469347808687,89.07416593382284,-0.0013365189685838885,89.28443489,-0.043576865909068285,3.8,3.2099999999999995,0.21386581743597244,0,1,0,0,0,0,0,0,0,0,0
24,148,San Luis Potosí,2016-04-01,0.3812860410660283,0.46416635722242855,0.01934206390098936,4.500809312634723,90.090012790202,0.002379432863057751,89.49713416,-0.010873923459260304,3.7425,3.3099999999999996,0.08202783014438042,0,0,1,0,0,0,0,0,0,0,0
24,149,San Luis Potosí,2016-05-01,0.6750024657787439,0.9640378188465824,0.018938928410357825,4.506915929660395,90.64184118363984,-0.0012933752024153478,89.38145561,0.032244078986717994,3.8125,3.35,0.13625706615949262,0,0,0,1,0,0,0,0,0,0,0
24,150,San Luis Potosí,2016-06-01,0.4518916369181394,0.5712816704276044,0.01917487066774637,4.513187167464398,91.21206385685896,-4.0086850675535857e-4,89.34563258,0.03094792913152844,3.806,3.3400000000000003,0.04295203009905402,0,0,0,0,1,0,0,0,0,0,0
24,151,San Luis Potosí,2016-07-01,0.5797053750843524,0.7855122968379559,0.027499269701396933,4.5192188896448835,91.7638922502968,7.264558643509389e-4,89.41056182,-0.0017823586399572378,4.21,3.41,-0.08805599729056279,0,0,0,0,0,1,0,0,0,0,0
24,152,San Luis Potosí,2016-08-01,0.4963362860031872,0.6426918792310549,0.03788625707067528,4.526050999500061,92.3929797934619,0.004189769989318748,89.78595737,-0.006909592949026155,4.234999999999999,3.3899999999999997,0.0015665215243356734,0,0,0,0,0,0,1,0,0,0,0
24,153,San Luis Potosí,2016-09-01,0.4963362860031872,0.6426918792310549,0.048273391902426965,4.5328367481955905,93.02206733662702,0.008079915523043546,90.51435907,0.03508124362093534,4.284,3.3899999999999997,0.010233682193013571,0,0,0,0,0,0,0,1,0,0,0
24,154,San Luis Potosí,2016-10-01,0.7785302700180862,1.1782684452569339,0.042906938983782617,4.5393600485102645,93.6308617332384,0.0031036366937087223,90.79571915,-0.007666471694313337,4.6875,3.419999999999999,0.09695878589958884,0,0,0,0,0,0,0,0,1,0,0
24,155,San Luis Potosí,2016-11-01,0.5995051792536651,0.8212174012396813,0.04463320479041766,4.545442527519101,94.20210501076414,4.8484451493457925e-4,90.83975163,0.0511771563391239,5.15,3.89,-0.0863906558377967,0,0,0,0,0,0,0,0,0,1,0
24,156,San Luis Potosí,2016-12-01,0.4743608569948961,0.6069867748293296,0.04505477480214015,4.5512937801947135,94.75492108578906,0.00431215365662041,91.23231238,0.028307026306301886,5.612,3.92,0.12944398791870126,0,0,0,0,0,0,0,0,0,0,1
24,157,San Luis Potosí,2017-01-01,0.5567704512829192,0.7450277380922393,0.04535540676162508,4.557304320337949,95.3261643633148,0.017225865050011002,92.81748164,0.040669169042498066,5.83,4.04,0.010146540577227636,0,0,0,0,0,0,0,0,0,0,0
